protocol	down	throughput	delay	delay_95th	avg_delay	avg_capacity
Cubic	sum-.tr	5.18	11378	8823	3133	5.19
Cubic	sum-.tr	12.71	5012	3685	1254	12.80
Cubic	sum-.tr	2.02	31130	23114	8609	2.03
Cubic	sum-.tr	0.52	111415	86570	33166	0.52
Cubic	sum-.tr	9.66	11236	5356	1678	9.74
NReno	sum-.tr	5.18	6753	4892	1796	5.19
NReno	sum-.tr	12.72	4383	3385	1154	12.80
NReno	sum-.tr	2.02	25844	18348	6949	2.03
NReno	sum-.tr	0.52	83274	50569	25916	0.52
NReno	sum-.tr	9.69	12251	5047	1744	9.74
Vegas	sum-.tr	2.27	483	62	27	5.19
Vegas	sum-.tr	9.56	1057	977	221	12.80
Vegas	sum-.tr	1.55	1905	88	35	2.03
Vegas	sum-.tr	0.36	2923	340	108	0.52
Vegas	sum-.tr	6.20	452	87	23	9.74
Verus	sum-.tr	4.91	1164	388	223	5.19
Verus	sum-.tr	12.02	1365	665	224	12.80
Verus	sum-.tr	1.91	7353	514	319	2.03
Verus	sum-.tr	0.45	5760	913	458	0.52
Verus	sum-.tr	9.27	1977	411	191	9.74
Sprout	sum-.tr	3.22	187	64	37	5.19
Sprout	sum-.tr	7.43	244	100	31	12.80
Sprout	sum-.tr	0.93	1088	64	56	2.03
Sprout	sum-.tr	0.23	2168	769	272	0.52
Sprout	sum-.tr	5.91	174	60	26	9.74
BBR	sum-.tr	4.68	639	107	48	5.19
BBR	sum-.tr	10.88	384	192	66	12.80
BBR	sum-.tr	1.86	3391	246	112	2.03
BBR	sum-.tr	0.44	5113	689	226	0.52
BBR	sum-.tr	8.87	734	171	62	9.74
C2TCP	sum-.tr	4.13	549	85	47	5.19
C2TCP	sum-.tr	9.98	3585	2176	387	12.80
C2TCP	sum-.tr	1.75	1793	108	50	2.03
C2TCP	sum-.tr	0.38	2271	309	104	0.52
C2TCP	sum-.tr	8.17	480	87	34	9.74
Codel_Cubic	sum-.tr	3.92	553	69	32	5.19
Codel_Cubic	sum-.tr	7.55	308	98	29	12.80
Codel_Cubic	sum-.tr	1.69	1679	65	30	2.03
Codel_Cubic	sum-.tr	0.37	1991	236	82	0.52
Codel_Cubic	sum-.tr	7.19	486	55	19	9.74
